district,tip_doma,jk,year,floor,area,toilet,parking,status,num_rooms,price
Нура,монолитный,Tumar Club,2025,9,41.27 м²,,,черновая отделка,1,31 000 000〒
Нура,монолитный,Turan Life,2023,16,41.7 м²,,,свежий ремонт,1,30 500 000〒
Нура,монолитный,Dastur,2024,7,58 м²,совмещенный,,,2,42 500 000〒
Байконур,монолитный,Фаворит,2013,8,"87 м², Площадь кухни — 24 м²",,,свежий ремонт,2,42 000 000〒
,монолитный,Arena Garden,2025,11,30 м²,,,свежий ремонт,1,27 500 000〒
Нура,монолитный,GreenLine.Tokyo,2019,8,"130 м², Площадь кухни — 16.9 м²",,,"не новый, но аккуратный ремонт",4,140 000 000〒
Алматы,монолитный,Мария,2011,5,"76 м², Площадь кухни — 10 м²",,,"не новый, но аккуратный ремонт",2,31 000 000〒
Нура,кирпичный,ABADAN,2025,8,71.2 м²,,,черновая отделка,2,32 000 000〒
Есильский,монолитный,Jetisu.Aqsu,2023,7,"76.1 м², Площадь кухни — 12.6 м²",совмещенный,,,2,46 500 000〒
Нура,монолитный,Alatau Eco Park,2025,5,"43.3 м², Площадь кухни — 9.3 м²",,,свежий ремонт,1,28 900 000〒
Сарыарка,монолитный,Скиф,2011,8,36.6 м²,совмещенный,,,1,21 000 000〒
Алматы,монолитный,A-City,2025,14,"63.2 м², Площадь кухни — 11 м²",,,свежий ремонт,2,35 000 000〒
Сарайшык,монолитный,Амирель,2023,,46.5 м²,2 с/у и более,,,2,
Алматы,монолитный,Highvill Ishim,2020,8,48 м²,,,свежий ремонт,2,40 500 000〒
Байконур,,,1981,1,45 м²,,,,2,19 900 000〒
Сарайшык,монолитный,,2023,4,41 м²,,,,2,24 000 000〒
,монолитный,Nova City,2018,2,37 м²,,,,1,22 500 000〒
Алматы,кирпичный,ViewPark,2021,9,62 м²,,,свежий ремонт,2,35 000 000〒
Алматы,монолитный,Atamura,2025,11,"36 м², Площадь кухни — 9 м²",,,свежий ремонт,1,20 000 000〒
Есильский,монолитный,SAFIA,2025,8,144.87 м²,,,свободная планировка,3,65 200 000〒
Нура,монолитный,Eleven,2020,2,"40 м², Площадь кухни — 6 м²",,,свежий ремонт,2,30 900 000〒
Сарыарка,монолитный,Мирный дом,2024,5,"44 м², Площадь кухни — 11.8 м²",,,требует ремонта,2,21 900 000〒
Есильский,монолитный,Hyde Premium Towers,2025,3,79 м²,,паркинг,,2,72 000 000〒
Нура,кирпичный,Baidaulet,2020,9,40 м²,,,свежий ремонт,2,28 500 000〒
Нура,монолитный,Tumar Club,2025,9,41.27 м²,,,черновая отделка,1,31 000 000〒
Нура,монолитный,Turan Life,2023,16,41.7 м²,,,свежий ремонт,1,30 500 000〒
Байконур,монолитный,Фаворит,2013,8,"87 м², Площадь кухни — 24 м²",,,свежий ремонт,2,42 000 000〒
,монолитный,Arena Garden,2025,11,30 м²,,,свежий ремонт,1,27 500 000〒
Нура,монолитный,GreenLine.Tokyo,2019,8,"130 м², Площадь кухни — 16.9 м²",,,"не новый, но аккуратный ремонт",4,140 000 000〒
Алматы,монолитный,Мария,2011,5,"76 м², Площадь кухни — 10 м²",,,"не новый, но аккуратный ремонт",2,31 000 000〒
Нура,кирпичный,ABADAN,2025,8,71.2 м²,,,черновая отделка,2,32 000 000〒
Есильский,монолитный,Jetisu.Aqsu,2023,7,"76.1 м², Площадь кухни — 12.6 м²",совмещенный,,,2,46 500 000〒
Нура,монолитный,Alatau Eco Park,2025,5,"43.3 м², Площадь кухни — 9.3 м²",,,свежий ремонт,1,28 900 000〒
Сарыарка,монолитный,Скиф,2011,8,36.6 м²,совмещенный,,,1,21 000 000〒
Алматы,монолитный,A-City,2025,14,"63.2 м², Площадь кухни — 11 м²",,,свежий ремонт,2,35 000 000〒
Сарайшык,монолитный,Амирель,2023,,46.5 м²,2 с/у и более,,,2,
Алматы,монолитный,Highvill Ishim,2020,8,48 м²,,,свежий ремонт,2,40 500 000〒
Байконур,,,1981,1,45 м²,,,,2,19 900 000〒
Сарайшык,монолитный,,2023,4,41 м²,,,,2,24 000 000〒
,монолитный,Nova City,2018,2,37 м²,,,,1,22 500 000〒
Алматы,кирпичный,ViewPark,2021,9,62 м²,,,свежий ремонт,2,35 000 000〒
Алматы,монолитный,Atamura,2025,11,"36 м², Площадь кухни — 9 м²",,,свежий ремонт,1,20 000 000〒
Есильский,монолитный,SAFIA,2025,8,144.87 м²,,,свободная планировка,3,65 200 000〒
Нура,монолитный,Eleven,2020,2,"40 м², Площадь кухни — 6 м²",,,свежий ремонт,2,30 900 000〒
Сарыарка,монолитный,Мирный дом,2024,5,"44 м², Площадь кухни — 11.8 м²",,,требует ремонта,2,21 900 000〒
Есильский,монолитный,Hyde Premium Towers,2025,3,79 м²,,паркинг,,2,72 000 000〒
Есильский,монолитный,SAFIA,2025,8,144.87 м²,,,свободная планировка,3,65 200 000〒
Нура,монолитный,Eleven,2020,2,"40 м², Площадь кухни — 6 м²",,,свежий ремонт,2,30 900 000〒
Сарыарка,монолитный,Мирный дом,2024,5,"44 м², Площадь кухни — 11.8 м²",,,требует ремонта,2,21 900 000〒
Есильский,монолитный,Hyde Premium Towers,2025,3,79 м²,,паркинг,,2,72 000 000〒
Нура,кирпичный,Kolsai,2024,8,"94 м², Площадь кухни — 13 м²",2 с/у и более,,,3,62 500 000〒
Нура,монолитный,Onyx Comfort,2025,3,36.75 м²,совмещенный,,,1,17 400 000〒
Нура,монолитный,Respublika,2025,2,43 м²,,паркинг,,2,30 500 000〒
Нура,кирпичный,Керемет,2013,9,"42.7 м², Площадь кухни — 15 м²",,,свежий ремонт,1,27 500 000〒
Сарыарка,кирпичный,Замечательный,2009,9,"94.6 м², Площадь кухни — 14.6 м²",,,свежий ремонт,3,39 000 000〒
Байконур,кирпичный,,1991,3,53 м²,совмещенный,,,2,23 500 000〒
Нура,кирпичный,College,2020,5,"80.7 м², Площадь кухни — 10.4 м²",,,свежий ремонт,3,54 500 000〒
Сарыарка,монолитный,Озен,2022,11,"89.2 м², Площадь кухни — 12 м²",,,свежий ремонт,3,53 990 000〒
Сарыарка,панельный,,1991,5,"58 м², Площадь кухни — 9 м²",раздельный,,"не новый, но аккуратный ремонт",3,25 000 000〒
Есильский,монолитный,AruPark,2025,4,"35 м², Площадь кухни — 8 м²",,,,1,25 500 000〒
Есильский,монолитный,Landmark Gold,2025,17,"82.2 м², Площадь кухни — 25 м²",,,черновая отделка,3,85 000 000〒
Есильский,монолитный,Capital Park. Light,2020,4,"78.81 м², Площадь кухни — 15.6 м²",2 с/у и более,,,2,66 000 000〒
Алматы,монолитный,Qasiet,2025,5,50 м²,,,черновая отделка,2,34 990 000〒
Есильский,кирпичный,Boston Comfort House 2,2025,2,32.21 м²,,,черновая отделка,1,13 000 000〒
Нура,монолитный,Baizaman,2026,,114.1 м²,2 с/у и более,,,4,
Нура,кирпичный,GreenLine. Verda,2026,,72.27 м²,2 с/у и более,,,2,
Сарыарка,панельный,,1991,5,"58 м², Площадь кухни — 9 м²",раздельный,,"не новый, но аккуратный ремонт",3,25 000 000〒
Есильский,монолитный,AruPark,2025,4,"35 м², Площадь кухни — 8 м²",,,,1,25 500 000〒
Есильский,монолитный,Landmark Gold,2025,17,"82.2 м², Площадь кухни — 25 м²",,,черновая отделка,3,85 000 000〒
Есильский,монолитный,Capital Park. Light,2020,4,"78.81 м², Площадь кухни — 15.6 м²",2 с/у и более,,,2,66 000 000〒
Алматы,монолитный,Qasiet,2025,5,50 м²,,,черновая отделка,2,34 990 000〒
